,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,27,9,1,3,0,811,1,0,2,28,8,591,2,-1,0,0,0
1,45,0,1,1,0,1501,1,0,0,13,8,189,3,-1,0,0,0
2,31,9,1,2,0,1503,1,1,0,8,1,257,2,-1,0,0,0
3,31,4,2,2,0,548,1,0,2,16,8,148,4,-1,0,0,0
4,30,9,1,2,0,71,1,0,0,25,5,800,2,-1,0,0,0
5,55,1,1,0,0,728,1,0,0,7,8,247,1,-1,0,0,0
6,36,0,2,1,0,98,1,0,2,21,8,68,1,-1,0,0,0
7,54,4,0,2,0,55,1,0,0,27,8,183,2,-1,0,0,0
8,45,9,1,1,0,0,1,1,2,14,8,246,2,-1,0,0,0
9,36,2,1,1,0,1412,1,1,0,25,5,226,1,-1,0,0,0
10,65,5,0,3,0,300,0,0,0,2,1,245,2,-1,0,0,0
11,30,9,2,2,0,255,1,0,2,9,8,119,2,-1,0,0,0
12,53,10,1,1,0,7,0,0,0,30,4,68,2,-1,0,0,0
13,33,1,2,0,0,785,1,0,0,20,9,139,1,-1,0,0,0
14,38,9,1,1,0,0,0,0,2,7,8,55,1,-1,0,0,0
15,39,0,2,1,0,573,1,0,2,7,8,329,1,-1,0,0,0
16,31,1,1,1,0,1908,0,0,0,12,8,225,1,-1,0,0,0
17,32,7,1,1,0,580,1,0,0,30,0,69,1,-1,0,0,0
18,70,5,1,0,0,3230,0,0,0,24,9,112,1,-1,0,0,0
19,29,9,2,1,0,-2,1,1,0,18,8,9,5,-1,0,0,0
20,50,7,1,1,0,-197,1,0,0,16,0,125,2,-1,0,0,0
21,32,4,1,2,0,273,1,1,0,18,5,97,3,-1,0,0,0
22,50,2,1,0,0,431,1,0,0,20,0,12,5,-1,0,0,0
23,47,1,1,1,0,812,1,0,2,29,8,68,1,-1,0,0,0
24,56,10,0,0,0,282,0,0,0,28,4,156,2,-1,0,0,0
25,26,8,2,0,0,114,1,0,0,14,8,226,2,-1,0,0,0
26,39,9,0,1,0,1270,1,0,2,29,8,245,4,-1,0,0,0
27,46,1,1,1,0,922,1,0,1,18,9,296,2,-1,0,0,0
28,39,1,1,1,0,1367,0,0,2,12,6,43,1,-1,0,0,0
29,42,1,1,0,0,869,1,1,0,11,8,718,2,-1,0,0,0
30,58,10,1,2,0,183,0,0,0,21,9,167,5,-1,0,0,0
31,40,1,0,0,1,0,1,0,1,21,9,333,3,-1,0,0,0
32,35,1,1,1,0,2074,0,0,0,6,3,183,4,-1,0,0,0
33,63,5,1,1,0,2896,0,0,0,4,7,180,2,-1,0,0,1
34,35,2,1,2,0,280,1,0,2,21,8,502,1,-1,0,0,0
35,57,5,1,2,0,31,0,0,0,19,1,260,2,-1,0,0,0
36,39,1,1,0,0,2303,1,0,2,17,6,775,3,-1,0,0,1
37,64,5,1,1,0,571,1,0,0,20,0,1422,2,-1,0,0,1
38,57,4,1,2,0,2440,1,0,2,15,8,391,2,-1,0,0,0
39,56,10,1,1,0,2552,1,0,2,15,8,176,2,-1,0,0,0
40,52,4,1,2,0,3163,0,0,0,25,1,56,6,-1,0,0,0
41,44,1,1,0,0,-337,1,0,0,20,0,326,3,-1,0,0,0
42,42,1,1,1,0,2256,1,0,2,16,6,315,1,-1,0,0,0
43,54,4,0,2,0,22,0,1,0,18,5,259,3,-1,0,0,0
44,27,4,2,2,0,170,0,0,0,29,4,76,2,-1,0,0,0
45,46,7,1,1,0,397,0,0,2,8,8,93,1,-1,0,0,0
46,30,7,2,1,0,0,1,0,0,7,5,161,2,-1,0,0,0
47,32,1,2,1,0,135,1,0,0,18,8,232,2,-1,0,0,0
48,30,9,1,1,0,-189,0,0,0,19,1,105,2,-1,0,0,0
49,44,7,0,1,0,51,1,1,2,27,8,3094,2,-1,0,0,1
50,45,9,1,0,0,-158,1,0,0,12,8,317,2,-1,0,0,0
51,35,4,1,2,0,387,1,0,0,16,5,254,2,-1,0,0,0
52,34,9,1,2,0,932,1,0,0,4,6,218,1,-1,0,0,0
53,38,7,1,1,0,393,0,0,2,18,6,90,3,-1,0,0,0
54,32,0,2,1,0,1649,0,0,0,27,8,204,2,-1,0,0,0
55,47,4,2,2,0,275,0,0,0,8,1,82,2,-1,0,0,0
56,42,1,1,1,0,1297,1,0,0,3,0,697,2,-1,0,0,0
57,39,1,1,1,0,366,1,0,0,28,5,551,5,-1,0,0,0
58,32,0,2,1,0,620,1,0,2,26,8,1234,3,-1,0,0,1
59,37,4,2,2,0,427,1,0,2,20,8,121,1,-1,0,0,0
60,42,11,2,3,1,61,0,0,2,20,6,115,1,-1,0,0,0
61,26,4,2,2,1,-130,1,0,0,18,8,216,1,-1,0,0,0
62,54,1,1,1,0,1636,0,0,1,20,5,1008,2,-1,0,0,1
63,24,8,2,2,0,3415,0,0,0,27,0,97,1,-1,0,0,1
64,39,4,2,2,0,307,0,0,0,22,8,182,2,-1,0,0,1
65,49,5,2,0,0,505,0,0,2,9,6,35,1,-1,0,0,0
66,61,5,0,1,0,410,0,1,0,31,5,470,4,-1,0,0,0
67,35,1,1,2,0,2999,0,0,2,12,6,1141,6,-1,0,0,1
68,66,5,1,1,0,2048,0,0,0,27,1,212,1,-1,0,0,1
69,32,9,2,1,0,0,0,0,0,21,1,126,2,-1,0,0,0
70,34,9,2,2,0,651,0,0,0,3,3,351,3,-1,0,0,0
71,30,4,2,2,0,478,0,0,0,12,1,193,3,-1,0,0,0
72,35,6,2,2,0,670,0,1,0,13,8,44,1,-1,0,0,0
73,37,0,2,1,0,465,1,1,0,6,8,116,1,-1,0,0,0
74,37,9,2,1,0,670,1,0,2,8,8,78,3,-1,0,0,0
75,47,1,1,1,0,214,1,0,2,16,6,442,3,-1,0,0,0
76,23,0,2,1,0,738,1,0,0,15,8,347,1,-1,0,0,0
77,31,9,1,1,0,518,1,0,0,25,1,348,2,-1,0,0,0
78,34,1,1,1,0,837,1,1,0,13,0,495,1,-1,0,0,0
79,37,7,0,1,0,49,1,0,2,16,8,619,2,-1,0,0,1
80,36,2,1,2,0,271,1,0,2,27,8,322,2,-1,0,0,0
81,44,7,1,1,0,1989,1,1,0,20,0,106,2,-1,0,0,0
82,39,9,1,2,0,93,0,0,0,20,1,162,2,-1,0,0,0
83,32,4,2,2,0,2,1,0,0,11,11,100,2,-1,0,0,1
84,32,0,2,2,0,490,1,0,2,9,8,94,2,-1,0,0,0
85,35,10,1,2,0,259,0,1,0,21,9,229,2,-1,0,0,0
86,39,0,1,0,0,510,1,0,0,17,0,155,1,-1,0,0,0
87,33,3,1,0,0,1,1,0,0,8,5,135,1,-1,0,0,0
88,37,7,1,1,0,405,1,0,2,21,8,51,2,-1,0,0,0
89,45,3,1,0,0,1526,1,0,1,28,4,109,1,-1,0,0,0
90,38,1,1,1,0,769,1,0,2,3,6,235,1,-1,0,0,0
91,33,0,2,1,0,375,1,0,0,17,0,151,1,-1,0,0,0
92,45,9,0,1,0,29,0,0,2,12,6,385,1,-1,0,0,0
93,42,9,1,2,0,1493,1,1,0,13,1,78,1,-1,0,0,0
94,43,1,1,1,0,1617,1,0,0,7,0,239,1,-1,0,0,0
95,46,7,1,3,0,72,1,0,0,15,8,165,3,-1,0,0,0
96,44,4,0,2,0,3,0,0,0,6,8,248,1,-1,0,0,0
97,33,9,1,1,0,0,0,0,2,9,8,120,1,-1,0,0,0
98,26,2,2,2,0,255,1,0,0,15,8,401,1,-1,0,0,0
99,61,5,1,1,0,77,0,0,0,6,1,455,4,-1,0,0,1
100,43,1,0,0,0,515,1,0,0,18,9,182,1,-1,0,0,0
101,46,1,1,1,0,211,1,0,0,14,5,36,2,-1,0,0,0
102,43,9,1,1,0,481,0,0,0,20,1,196,2,-1,0,0,0
103,38,0,1,2,0,293,0,0,0,15,0,85,1,-1,0,0,0
104,59,1,1,1,0,0,0,0,2,6,6,135,1,-1,0,0,0
105,57,0,1,1,0,2,0,0,1,10,5,144,2,-1,0,0,0
106,56,9,0,3,0,1939,1,0,0,30,5,121,3,-1,0,0,0
107,30,9,2,1,0,54,0,0,0,11,1,194,2,-1,0,0,0
108,59,1,1,0,0,63,0,0,0,22,1,176,6,-1,0,0,0
109,47,6,1,1,0,1803,0,0,0,30,4,188,2,-1,0,0,0
110,44,3,1,1,0,2541,0,0,0,27,1,138,3,-1,0,0,0
111,53,4,1,2,0,2124,1,0,2,8,8,123,2,-1,0,0,0
112,57,9,1,1,0,0,0,0,2,20,6,45,4,-1,0,0,0
113,36,1,0,1,0,-159,1,0,2,4,6,382,3,-1,0,0,0
114,38,1,1,1,0,0,1,0,2,20,8,90,1,-1,0,0,0
115,60,5,1,0,0,280,0,0,1,8,5,291,1,-1,0,0,0
116,37,1,1,1,0,37,1,0,2,5,8,204,1,-1,0,0,0
117,32,9,1,1,0,473,0,1,0,7,8,292,3,-1,0,0,1
118,38,9,1,1,0,1919,0,0,0,4,1,846,1,-1,0,0,1
119,23,1,2,1,0,27,1,0,2,2,6,280,2,-1,0,0,0
120,60,5,1,0,0,0,0,0,1,30,5,130,3,-1,0,0,0
121,37,2,0,2,0,66,0,0,0,18,9,1164,2,-1,0,0,1
122,29,7,0,1,0,-7,1,0,0,13,8,1279,3,-1,0,0,1
123,48,2,1,1,0,86,1,0,2,13,8,98,1,-1,0,0,0
124,38,1,1,0,0,0,1,0,2,3,6,179,2,-1,0,0,0
125,57,5,2,2,0,842,0,0,0,13,1,284,3,-1,0,0,1
126,35,4,0,3,0,1043,1,1,0,18,8,230,1,-1,0,0,0
127,35,4,1,1,0,683,0,0,2,29,11,13,1,-1,0,0,0
128,41,7,1,0,0,373,1,0,2,30,8,240,2,-1,0,0,0
129,49,7,1,2,0,475,1,0,0,28,5,273,2,-1,0,0,0
130,36,1,1,0,0,59,1,0,0,6,8,225,2,-1,0,0,0
131,50,3,1,0,0,0,0,0,2,20,6,179,2,-1,0,0,0
132,56,7,1,3,0,628,0,0,0,29,1,96,2,-1,0,0,0
133,46,4,1,1,0,36,1,0,2,16,8,250,1,-1,0,0,0
134,29,9,2,1,0,156,1,0,2,27,8,574,5,-1,0,0,0
135,42,0,1,1,0,-1386,1,1,0,15,5,56,4,-1,0,0,0
136,30,10,2,1,0,1058,0,0,0,4,3,515,1,-1,0,0,0
137,47,0,1,1,0,726,0,0,2,17,6,60,3,-1,0,0,0
138,35,4,0,2,0,434,1,0,0,13,1,1314,2,-1,0,0,1
139,58,5,1,2,0,1669,0,0,0,13,1,109,2,-1,0,0,0
140,42,3,2,1,0,578,0,0,1,28,4,44,1,-1,0,0,0
141,32,0,1,1,0,0,0,0,2,23,8,206,3,-1,0,0,0
142,51,4,1,2,0,0,1,0,2,16,8,59,5,-1,0,0,0
143,54,9,1,3,0,2564,0,0,2,12,6,134,1,-1,0,0,0
144,46,3,1,0,0,1188,0,0,2,19,6,675,5,-1,0,0,0
145,48,2,1,0,0,386,0,1,0,27,1,185,5,-1,0,0,0
146,35,1,2,3,0,88,0,0,0,13,8,272,2,-1,0,0,0
147,28,1,1,0,0,286,1,0,2,13,8,237,1,-1,0,0,0
148,34,7,2,1,0,581,1,0,2,21,8,176,4,-1,0,0,0
149,45,9,0,1,0,23,1,0,2,27,8,62,4,-1,0,0,0
150,37,4,1,2,0,21,1,0,2,29,8,52,2,-1,0,0,0
151,58,9,1,2,0,332,0,0,0,5,1,371,3,-1,0,0,0
152,29,4,2,3,0,345,0,0,0,16,11,106,1,-1,0,0,0
153,58,1,1,1,0,371,0,0,0,22,1,73,2,-1,0,0,0
154,48,4,0,2,0,0,0,0,0,15,10,126,2,-1,0,0,0
155,37,7,1,1,0,0,1,0,0,14,5,330,4,-1,0,0,0
156,36,2,1,1,0,134,0,0,2,20,8,98,1,-1,0,0,0
157,46,9,0,1,0,-1034,1,1,0,7,8,195,1,-1,0,0,0
158,42,4,1,2,0,36,0,0,0,14,1,366,2,-1,0,0,0
159,40,9,1,2,0,483,1,0,2,5,8,168,1,-1,0,0,0
160,64,5,1,1,0,3189,0,0,1,15,6,208,1,-1,0,0,1
161,25,1,2,1,0,320,1,0,0,18,8,549,3,-1,0,0,0
162,49,5,0,1,0,-268,1,0,0,15,5,111,5,-1,0,0,0
163,52,10,1,0,0,959,0,0,1,30,5,694,2,-1,0,0,1
164,60,4,1,1,0,725,1,0,0,8,5,266,1,-1,0,0,0
165,46,1,1,0,0,1483,1,0,2,14,8,174,3,-1,0,0,0
166,58,10,1,0,0,446,0,0,0,28,4,402,2,-1,0,0,0
167,57,1,1,0,0,1352,1,0,2,13,8,104,2,-1,0,0,0
168,50,1,1,2,0,676,0,0,2,11,6,159,1,-1,0,0,0
169,32,1,1,1,0,139,1,1,0,31,5,70,5,-1,0,0,0
170,28,1,1,0,0,254,1,0,0,20,0,149,2,-1,0,0,0
171,35,4,1,2,0,416,0,0,0,7,1,163,4,-1,0,0,0
172,43,9,0,0,0,13,0,1,0,9,5,977,4,-1,0,0,0
173,41,7,0,1,0,0,1,0,0,9,5,126,1,-1,0,0,0
174,58,5,1,1,0,1227,0,0,0,2,3,277,1,-1,0,0,0
175,32,1,2,1,0,395,1,1,0,20,0,339,1,-1,0,0,0
176,46,1,1,1,0,942,0,0,1,22,5,425,2,-1,0,0,0
177,40,9,1,1,0,1269,1,0,2,29,8,656,1,-1,0,0,0
178,49,5,1,1,0,329,1,0,2,14,8,264,2,-1,0,0,0
179,39,1,1,0,0,-50,1,0,0,15,8,100,1,-1,0,0,0
180,36,4,1,2,0,763,0,0,0,2,3,50,1,-1,0,0,0
181,25,1,2,1,0,195,0,0,0,16,5,1339,3,-1,0,0,0
182,44,7,1,1,0,-18,0,1,0,23,5,510,2,-1,0,0,0
183,40,4,1,1,0,394,1,0,0,16,5,60,5,-1,0,0,0
184,43,4,1,1,0,5,1,0,0,24,5,953,1,-1,0,0,0
185,45,2,1,2,0,1752,1,1,0,20,9,56,2,-1,0,0,0
186,41,1,1,1,0,2157,1,0,2,14,8,154,2,-1,0,0,0
187,54,5,1,1,0,1614,1,0,2,17,6,534,4,-1,0,0,0
188,43,1,1,1,0,2706,1,1,2,14,8,44,1,-1,0,0,0
189,32,4,1,2,0,1570,0,0,0,4,1,156,1,-1,0,0,0
190,70,5,0,0,0,275,0,0,0,15,0,82,1,-1,0,0,1
191,36,6,1,1,0,1006,1,0,0,21,9,89,2,-1,0,0,0
192,26,7,1,1,0,380,1,0,2,13,8,260,3,-1,0,0,0
193,50,2,1,1,0,1011,1,0,1,30,5,340,2,-1,0,0,0
194,37,9,1,1,0,0,1,0,0,11,5,906,2,-1,0,0,0
195,36,4,2,2,0,1339,1,0,0,11,5,136,1,-1,0,0,0
196,30,9,2,1,0,126,0,0,0,19,1,256,2,-1,0,0,0
197,59,7,1,0,0,64,1,1,1,12,8,370,2,-1,0,0,0
198,35,4,0,2,0,321,1,0,2,9,8,189,1,-1,0,0,0
199,24,1,2,1,0,-10,1,0,2,13,8,106,1,-1,0,0,0
200,39,1,1,1,0,518,1,0,2,4,6,608,2,-1,0,0,0
201,47,2,1,2,0,362,1,0,2,27,8,97,5,-1,0,0,0
202,36,9,1,1,0,1466,1,0,2,29,8,441,1,-1,0,0,0
203,32,7,2,1,0,995,1,0,0,26,8,119,1,-1,0,0,0
204,36,1,1,0,0,1580,1,0,0,14,5,615,3,-1,0,0,0
205,35,4,2,2,0,863,0,0,0,11,1,481,2,-1,0,0,0
206,50,4,2,3,0,1277,0,0,0,4,8,63,1,-1,0,0,0
207,32,1,1,1,0,931,1,0,2,3,6,409,1,-1,0,0,0
208,59,5,1,0,0,94,0,0,0,12,1,256,2,-1,0,0,0
209,49,2,1,1,0,687,1,0,0,17,0,772,1,-1,0,0,1
210,34,1,1,0,0,-78,1,0,2,9,8,198,1,-1,0,0,0
211,50,3,0,0,0,94,1,0,0,22,5,184,4,-1,0,0,0
212,48,9,0,1,0,0,0,1,0,17,9,318,1,-1,0,0,0
213,51,9,1,1,0,-379,1,0,0,5,1,261,1,-1,0,0,0
214,51,4,1,2,0,1212,1,0,2,13,8,184,1,-1,0,0,0
215,35,7,1,1,0,871,1,0,2,1,5,108,1,-1,0,0,0
216,33,9,1,1,0,168,1,0,2,26,8,238,2,-1,0,0,0
217,45,0,1,1,0,285,0,0,0,6,3,8,5,-1,0,0,0
218,49,0,1,1,0,2732,0,0,2,12,6,558,1,-1,0,0,0
219,57,5,1,1,0,168,0,0,0,7,1,342,1,-1,0,0,1
220,29,6,1,2,0,1,0,0,0,18,5,167,3,-1,0,0,0
221,35,1,1,1,0,667,0,0,0,20,9,178,1,-1,0,0,0
222,28,1,1,0,0,-469,1,0,0,8,5,244,3,-1,0,0,0
223,25,1,1,0,0,172,1,0,2,29,8,95,3,-1,0,0,0
224,49,1,1,0,0,1119,1,0,2,20,6,493,1,-1,0,0,0
225,28,9,2,1,0,0,0,1,0,22,5,188,2,-1,0,0,0
226,53,0,1,1,0,459,0,0,0,5,0,558,1,-1,0,0,1
227,34,9,1,1,0,46,1,1,2,3,5,412,1,-1,0,0,0
228,43,6,2,0,0,1337,1,1,0,20,9,632,2,-1,0,0,0
229,33,0,2,1,0,-281,1,1,0,20,9,282,1,-1,0,0,0
230,47,9,1,2,0,52,0,0,0,25,1,93,5,-1,0,0,0
231,55,9,0,1,0,929,0,1,1,28,11,80,3,-1,0,0,0
232,53,1,0,0,0,559,0,0,1,9,3,16,5,-1,0,0,0
233,41,7,1,1,0,650,1,0,0,7,5,149,5,-1,0,0,0
234,33,0,1,1,0,105,1,0,2,26,8,122,4,-1,0,0,0
235,57,5,0,2,0,241,0,1,0,5,1,146,1,-1,0,0,0
236,60,0,1,3,0,2667,1,0,2,15,8,140,1,-1,0,0,0
237,55,10,1,1,0,549,0,0,0,18,1,43,5,-1,0,0,0
